date	AFG	ALB	DZA	AGO	ATG	ARG	ARM	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BTN	BOL	BIH	BWA	BRA	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	CAF	TCD	CHL	CHN	COL	COM	COD	COG	CRI	CIV	HRV	CYP	CZE	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GRC	GRD	GTM	GIN	GNB	GUY	HTI	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KOR
1/1/1980	n/a	2.671	18.666	8.388	0.068	27.95	n/a	14.802	7.54	n/a	0.211	0.353	82.498	0.25	n/a	9.855	0.15	3.653	0.413	4.996	n/a	0.98	118.563	n/a	8.862	7.285	4.09	0.289	n/a	8.823	24.471	2.279	4.412	11.174	987.05	28.447	0.353	28.712	1.597	2.302	7.993	n/a	0.517	n/a	5.122	n/a	n/a	5.652	8.03	40.554	4.792	0.219	n/a	n/a	34.32	0.634	4.771	53.731	0.748	0.596	n/a	77.132	10.015	9.643	0.089	6.936	n/a	0.829	0.778	5.948	3.635	5.096	10.71	0.227	685.688	147.49	38.35	n/a	3.401	3.92	56.388	2.112	116.72	2.233	n/a	15.74	0.06	38.124
1/1/1981	n/a	2.724	19.246	8.615	0.068	28.45	n/a	15.039	7.556	n/a	0.215	0.367	84.764	0.25	n/a	9.863	0.15	3.78	0.424	5.409	n/a	0.998	121.213	n/a	8.891	7.466	4.21	0.294	n/a	9.079	24.785	2.348	4.522	11.36	1,000.72	29.08	0.362	29.659	1.647	2.372	8.175	n/a	0.524	n/a	5.124	n/a	0.074	5.781	8.261	41.706	4.847	0.235	n/a	n/a	35.148	0.649	4.788	54.029	0.765	0.633	n/a	77.278	10.542	9.728	0.091	7.112	n/a	0.847	0.787	6.056	3.751	5.217	10.706	0.229	699.938	150.406	40.85	n/a	3.443	3.948	56.479	2.15	117.586	2.319	n/a	16.327	0.06	38.723
1/1/1982	n/a	2.781	19.864	8.843	0.067	28.93	n/a	15.289	7.565	n/a	0.22	0.38	87.061	0.25	n/a	9.855	0.153	3.896	0.435	5.521	n/a	1.035	123.885	n/a	8.922	7.654	4.334	0.299	n/a	9.335	25.083	2.407	4.636	11.545	1,016.54	29.718	0.371	30.638	1.698	2.443	8.492	n/a	0.53	n/a	5.119	n/a	0.074	5.916	8.495	42.846	4.885	0.251	n/a	n/a	36.151	0.666	4.812	54.335	0.781	0.657	n/a	77.223	11.097	9.795	0.093	7.293	n/a	0.864	0.805	6.165	3.867	5.297	10.695	0.232	715.563	153.379	42.48	n/a	3.48	4.018	56.524	2.186	118.418	2.409	n/a	16.92	0.06	39.326
1/1/1983	n/a	2.838	20.516	9.074	0.066	29.34	n/a	15.484	7.543	n/a	0.225	0.393	89.4	0.25	n/a	9.858	0.157	4.023	0.445	5.637	n/a	1.073	126.573	n/a	8.948	7.848	4.461	0.305	n/a	9.59	25.336	2.467	4.751	11.731	1,030.08	30.36	0.379	31.649	1.75	2.514	8.924	n/a	0.537	n/a	5.116	n/a	0.073	6.056	8.733	44.015	4.914	0.272	n/a	n/a	37.294	0.683	4.842	54.65	0.799	0.683	n/a	76.953	11.681	9.848	0.096	7.479	n/a	0.883	0.757	6.275	3.987	5.388	10.672	0.236	731	156.41	44.18	n/a	3.504	4.104	56.563	2.23	119.233	2.502	n/a	17.498	0.062	39.91
1/1/1984	n/a	2.897	21.175	9.314	0.065	29.84	n/a	15.677	7.544	n/a	0.23	0.406	91.804	0.25	n/a	9.853	0.162	4.149	0.456	5.754	n/a	1.113	129.273	n/a	8.963	8.046	4.591	0.312	n/a	9.848	25.577	2.526	4.87	11.917	1,043.57	31.004	0.383	32.693	1.804	2.588	9.173	n/a	0.544	n/a	5.112	n/a	0.073	6.202	8.971	45.237	4.944	0.294	n/a	n/a	38.52	0.698	4.87	54.895	0.816	0.711	n/a	76.643	12.296	9.893	0.098	7.671	n/a	0.901	0.757	6.388	4.111	5.469	10.641	0.238	747	159.502	45.96	n/a	3.529	4.157	56.565	2.235	120.016	2.599	n/a	18.095	0.063	40.406
1/1/1985	n/a	2.957	22.2	10.496	0.064	30.35	n/a	15.901	7.549	n/a	0.233	0.42	94.288	0.25	n/a	9.858	0.166	4.287	0.469	5.875	n/a	1.154	131.978	0.222	8.96	7.728	4.726	0.318	n/a	10.111	25.813	2.595	4.992	12.102	1,058.51	30.794	0.395	33.772	1.86	2.666	9.528	n/a	0.55	n/a	5.111	n/a	0.073	6.353	9.211	46.545	4.984	0.313	n/a	n/a	39.786	0.709	4.894	55.157	0.834	0.74	n/a	76.453	12.61	9.934	0.1	7.868	n/a	0.92	0.757	6.504	4.238	5.539	10.599	0.241	763.063	162.655	47.82	n/a	3.54	4.231	56.588	2.269	120.77	2.7	n/a	18.712	0.064	40.806
1/1/1986	n/a	3.016	22.8	10.795	0.063	30.74	n/a	16.139	7.557	n/a	0.237	0.435	96.852	0.25	n/a	9.859	0.171	4.424	0.484	5.997	n/a	1.197	134.653	0.226	8.94	7.931	4.864	0.325	7.016	10.389	26.067	2.684	5.117	12.317	1,075.07	31.433	0.408	34.887	1.917	2.746	9.902	n/a	0.557	n/a	5.116	n/a	0.072	6.509	9.451	47.751	5.034	0.328	n/a	n/a	41.084	0.715	4.911	55.411	0.852	0.77	n/a	76.506	12.933	9.972	0.1	8.069	n/a	0.939	0.757	6.621	4.365	5.605	10.56	0.242	779.5	165.87	49.44	n/a	3.541	4.296	56.598	2.29	121.431	2.805	n/a	19.351	0.065	41.214
1/1/1987	n/a	3.076	23.4	11.071	0.062	31.09	n/a	16.395	7.567	n/a	0.241	0.45	99.477	0.25	n/a	9.865	0.176	4.561	0.501	6.122	n/a	1.241	137.268	0.234	8.903	8.14	5.007	0.332	7.234	10.686	26.398	2.741	5.245	12.533	1,093.00	32.092	0.421	36.038	1.976	2.824	10.286	n/a	0.563	n/a	5.125	n/a	0.072	6.669	9.691	48.8	5.095	0.341	n/a	n/a	42.424	0.718	4.926	55.682	0.871	0.802	n/a	76.52	13.263	10.007	0.099	8.275	n/a	0.958	0.757	6.741	4.496	5.637	10.509	0.244	796.5	169.149	50.66	n/a	3.547	4.366	56.594	2.306	122.022	2.914	n/a	20.011	0.067	41.622
1/1/1988	n/a	3.138	24.1	11.371	0.061	31.47	n/a	16.687	7.576	n/a	0.246	0.467	102.133	0.25	n/a	9.876	0.179	4.709	0.517	6.25	n/a	1.286	139.819	0.241	8.852	8.356	5.154	0.339	7.46	10.999	26.751	2.795	5.376	12.748	1,110.26	32.764	0.435	37.227	2.037	2.901	10.382	n/a	0.569	n/a	5.129	n/a	0.072	6.828	9.944	49.8	5.167	0.352	n/a	n/a	43.815	0.719	4.939	55.966	0.89	0.834	n/a	76.986	13.602	10.044	0.098	8.485	n/a	0.977	0.757	6.821	4.631	5.712	10.464	0.248	813.5	172.492	51.91	n/a	3.531	4.439	56.609	2.32	122.555	3.027	n/a	20.694	0.068	42.031
1/1/1989	n/a	3.199	24.7	11.683	0.06	31.86	n/a	16.937	7.594	n/a	0.25	0.484	104.779	0.25	n/a	9.928	0.184	4.848	0.53	6.381	n/a	1.333	142.307	0.246	8.789	8.58	5.305	0.346	7.692	11.332	27.215	2.852	5.51	12.963	1,127.04	33.443	0.449	38.456	2.165	2.977	10.804	n/a	0.577	n/a	5.13	n/a	0.072	6.979	10.189	50.9	5.249	0.362	n/a	n/a	45.273	0.724	4.954	56.27	0.91	0.869	n/a	77.755	13.95	10.094	0.097	8.697	n/a	0.997	0.757	6.96	4.765	5.767	10.422	0.252	830.5	175.902	53.19	n/a	3.51	4.516	56.649	2.324	123.032	3.144	n/a	21.4	0.07	42.449
1/1/1990	n/a	3.197	25.022	11.995	0.06	32.53	n/a	17.17	7.645	n/a	0.254	0.488	107.386	0.25	n/a	9.948	0.189	5.001	0.536	6.514	n/a	1.382	146.593	0.253	8.718	8.811	5.46	0.354	7.932	11.685	27.632	2.913	5.648	13.179	1,143.33	34.125	0.462	39.725	2.232	3.051	11.246	n/a	0.589	n/a	5.135	n/a	0.071	7.118	10.43	51.36	5.34	0.374	n/a	n/a	46.807	0.728	4.974	56.577	0.93	0.904	n/a	79.246	14.306	10.161	0.096	8.91	6.02	1.017	0.751	7.103	4.904	5.793	10.375	0.254	847.438	179.379	54.5	n/a	3.506	4.658	56.694	2.365	123.459	3.468	n/a	22.037	0.072	42.869
1/1/1991	n/a	3.141	25.643	12.355	0.061	32.97	n/a	17.379	7.711	n/a	0.259	0.508	109.935	0.25	n/a	9.987	0.194	5.183	0.535	6.65	n/a	1.424	149.094	0.26	8.639	9.05	5.62	0.363	8.179	12.045	27.987	2.98	5.784	13.422	1,158.23	34.834	0.447	41.036	2.3	3.122	11.697	n/a	0.605	n/a	5.146	0.498	0.071	7.242	10.671	52.423	5.43	0.386	n/a	n/a	48.42	0.735	4.998	56.841	0.96	0.941	n/a	80.275	14.672	10.247	0.096	9.119	6.352	1.037	0.724	7.234	5.042	5.856	10.373	0.256	864.25	182.354	55.84	n/a	3.526	4.946	56.744	2.381	123.917	3.701	n/a	22.694	0.073	43.296
1/1/1992	n/a	3.11	26.271	12.725	0.062	33.42	3.45	17.557	7.799	7.459	0.264	0.516	112.431	0.25	10.217	10.022	0.199	5.378	0.528	6.789	n/a	1.465	151.547	0.267	8.553	9.297	5.78	0.371	8.434	12.412	28.324	3.051	5.922	13.665	1,171.71	35.53	0.457	42.39	2.371	3.191	12.157	4.73	0.621	n/a	5.162	0.512	0.071	7.375	10.912	53.508	5.51	0.4	3.427	n/a	50.096	0.744	5.029	57.111	0.99	0.98	n/a	80.975	15.046	10.35	0.097	9.334	6.734	1.059	0.739	7.376	5.181	5.929	10.374	0.26	881.875	185.378	61.56	n/a	3.555	5.124	56.773	2.399	124.392	3.844	17.048	23.37	0.074	43.748
1/1/1993	n/a	3.095	26.894	13.107	0.063	33.917	3.37	17.719	7.883	7.487	0.269	0.53	114.898	0.25	10.24	10.068	0.205	5.582	0.519	6.983	n/a	1.506	153.986	0.274	8.463	9.552	5.77	0.38	8.697	12.787	28.651	3.125	6.064	13.908	1,185.17	36.208	0.466	43.789	2.443	3.275	13.358	4.624	0.636	n/a	5.181	0.526	0.071	7.511	11.15	54.615	5.6	0.413	3.422	1.511	51.812	0.755	5.055	57.369	1.014	1.037	n/a	81.338	15.431	10.462	0.098	9.554	7.136	1.081	0.747	7.528	5.32	6.04	10.365	0.262	901	188.452	61	n/a	3.574	5.259	56.821	2.419	124.799	3.993	16.9	24.066	0.075	44.195
1/1/1994	n/a	3.033	27.496	13.5	0.065	34.353	3.29	17.893	7.929	7.597	0.273	0.544	117.369	0.264	10.228	10.101	0.211	5.787	0.512	7.182	n/a	1.546	156.431	0.281	8.377	9.817	5.87	0.39	10.43	13.168	28.96	3.201	6.21	14.152	1,198.50	36.863	0.476	45.234	2.516	3.373	13.758	4.524	0.65	n/a	5.197	0.541	0.071	7.642	11.38	55.746	5.68	0.428	3.426	1.477	53.531	0.766	5.078	57.565	1.039	1.073	4.93	81.539	15.825	10.572	0.099	9.779	7.514	1.103	0.764	7.691	5.457	6.162	10.35	0.265	919	191.578	61.891	n/a	3.586	5.395	56.842	2.44	125.142	4.139	15.8	24.783	0.077	44.642
1/1/1995	n/a	3.037	28.06	13.905	0.067	34.779	3.22	18.12	7.944	7.726	0.279	0.559	119.87	0.264	10.177	10.131	0.217	5.986	0.509	7.387	n/a	1.586	158.875	0.287	8.297	10.09	5.98	0.399	10.769	13.537	29.263	3.276	6.596	14.395	1,211.21	37.49	0.486	46.726	2.59	3.47	14.158	4.453	0.656	10.333	5.216	0.556	0.071	7.771	11.598	56.9	5.75	0.442	3.453	1.448	55.23	0.776	5.099	57.753	1.065	1.106	4.794	81.817	16.23	10.672	0.1	10.007	7.837	1.125	0.773	7.838	5.592	6.314	10.337	0.267	937	194.755	64.1	n/a	3.601	5.542	56.844	2.462	125.456	4.264	15.676	25.521	0.078	45.093
1/1/1996	n/a	3.063	28.566	14.323	0.068	35.196	3.17	18.33	7.953	7.763	0.284	0.574	122.401	0.265	10.142	10.143	0.222	6.176	0.513	7.589	3.645	1.624	161.323	0.295	8.225	10.373	6.09	0.409	11.091	13.916	29.57	3.35	6.761	14.596	1,223.89	38.1	0.497	47.912	2.59	3.565	14.56	4.494	0.666	10.321	5.251	0.571	0.071	7.897	11.798	58.2	5.81	0.456	3.507	1.425	56.898	0.785	5.117	57.936	1.092	1.139	4.675	82.012	16.644	10.758	0.101	10.238	8.095	1.148	0.778	7.987	5.724	6.467	10.321	0.268	955.063	197.004	62.509	n/a	3.626	5.682	56.844	2.485	125.751	4.383	15.481	26.281	0.079	45.525
1/1/1997	n/a	3.088	29.045	14.752	0.07	35.604	3.14	18.51	7.965	7.838	0.288	0.589	124.945	0.266	10.093	10.17	0.23	6.361	0.521	7.827	3.756	1.661	163.78	0.302	8.162	10.665	6.19	0.418	11.396	14.305	29.868	3.425	6.932	14.796	1,236.26	38.6	0.507	48.924	2.665	3.657	14.938	4.572	0.675	10.309	5.275	0.587	0.071	8.023	11.987	59.4	5.86	0.471	3.583	1.406	58.544	0.793	5.132	58.116	1.119	1.191	4.558	82.057	17.07	10.745	0.101	10.474	8.296	1.171	0.779	8.136	5.853	6.517	10.301	0.27	973.438	199.28	60.929	n/a	3.664	5.824	56.876	2.509	126.045	4.506	15.188	27.064	0.08	45.954
1/1/1998	n/a	3.061	29.507	15.195	0.072	36.005	3.11	18.706	7.971	7.913	0.293	0.605	127.479	0.267	10.045	10.192	0.239	6.546	0.534	7.914	3.654	1.696	166.252	0.31	8.105	10.968	6.3	0.426	11.685	14.706	30.124	3.498	7.108	14.997	1,247.61	39.2	0.518	49.902	2.742	3.747	15.326	4.501	0.683	10.299	5.295	0.604	0.071	8.152	12.168	60.7	5.9	0.487	3.683	1.393	60.179	0.801	5.147	58.299	1.147	1.225	4.505	82.037	17.506	10.808	0.101	10.716	8.457	1.194	0.777	8.286	5.98	6.583	10.28	0.272	992	201.581	61.842	n/a	3.703	5.967	56.904	2.534	126.354	4.623	14.955	27.87	0.082	46.287
1/1/1999	n/a	3.1	29.965	15.651	0.074	36.399	3.09	18.919	7.983	8.016	0.298	0.712	129.967	0.267	10.019	10.214	0.243	6.74	0.549	8.001	3.725	1.728	168.754	0.317	8.067	11.282	6.3	0.434	11.96	15.117	30.367	3.57	7.29	15.197	1,257.86	39.7	0.529	50.9	2.822	3.838	15.725	4.554	0.691	10.29	5.314	0.621	0.071	8.276	12.347	62	5.93	0.502	3.802	1.379	61.826	0.807	5.16	58.497	1.176	1.26	4.47	82.163	17.953	10.861	0.101	10.968	8.601	1.217	0.781	8.433	6.107	6.638	10.253	0.276	1,010.19	203.909	62.817	n/a	3.742	6.117	56.909	2.559	126.594	4.738	14.902	28.7	0.083	46.617
1/1/2000	n/a	3.058	30.506	16.12	0.076	36.784	3.08	19.141	8.002	8.139	0.303	0.638	132.383	0.269	9.99	10.239	0.25	6.949	0.564	8.275	3.781	1.758	173.448	0.325	8.15	11.608	6.426	0.442	12.223	15.541	30.647	3.638	7.478	15.398	1,267.43	40.296	0.54	52.427	2.904	3.81	16.134	4.381	0.698	10.278	5.33	0.638	0.071	8.398	12.531	63.771	5.96	0.518	3.939	1.372	63.5	0.812	5.171	58.858	1.205	1.297	4.435	82.26	18.412	10.904	0.102	11.231	8.746	1.273	0.743	8.578	6.236	6.712	10.222	0.279	1,029.19	206.265	63.862	n/a	3.79	6.286	56.924	2.582	126.829	4.857	14.866	29.494	0.084	47.008
1/1/2001	n/a	3.068	30.954	16.604	0.077	37.156	3.06	19.386	8.021	8.234	0.307	0.661	134.73	0.27	9.957	10.263	0.257	7.175	0.581	8.248	3.798	1.784	175.885	0.333	7.891	11.946	6.75	0.451	12.473	15.976	30.972	3.704	7.665	15.572	1,276.27	40.814	0.552	54	2.988	3.953	16.553	4.305	0.706	10.232	5.349	0.656	0.071	8.513	12.815	65.182	5.99	0.535	4.102	1.367	65.405	0.815	5.181	59.267	1.235	1.336	4.401	82.44	18.883	10.935	0.102	11.506	8.895	1.302	0.744	8.72	6.365	6.73	10.2	0.283	1,048.00	209.206	64.584	n/a	3.847	6.436	56.961	2.605	127.17	4.978	14.851	30.309	0.086	47.357
1/1/2002	22.203	3.06	31.414	17.102	0.078	37.516	3.05	19.605	8.064	8.328	0.312	0.711	137.006	0.271	9.9	10.31	0.265	7.415	0.598	8.547	3.828	1.808	178.276	0.34	7.846	12.296	7	0.459	12.709	16.423	31.309	3.767	7.857	15.668	1,284.53	41.329	0.564	55.62	3.075	4.022	16.984	4.305	0.714	10.201	5.368	0.674	0.071	8.628	13.094	66.531	6.01	0.551	4.282	1.361	67.22	0.816	5.195	59.686	1.266	1.376	4.372	82.537	19.366	10.969	0.102	11.793	9.046	1.331	0.751	8.86	6.496	6.726	10.175	0.287	1,064.06	212.19	65.657	n/a	3.917	6.567	56.988	2.627	127.422	5.098	14.867	31.147	0.088	47.622
1/1/2003	23.116	3.042	31.885	17.615	0.079	37.87	3.04	19.827	8.1	8.423	0.316	0.765	139.186	0.272	9.831	10.356	0.274	7.666	0.616	9.141	3.858	1.83	180.619	0.346	7.801	12.659	7.2	0.467	12.934	16.883	31.602	3.83	8.6	15.838	1,292.27	41.849	0.576	57.289	3.164	4.086	17.425	4.306	0.723	10.193	5.384	0.693	0.071	8.745	13.32	67.908	6.03	0.569	4.473	1.356	71.342	0.817	5.206	60.102	1.298	1.418	4.318	82.532	19.861	10.999	0.102	12.091	9.205	1.361	0.754	8.996	6.628	6.764	10.142	0.288	1,080.50	215.216	67.315	n/a	3.98	6.687	57.131	2.647	127.616	5.23	14.951	32.009	0.089	47.859
1/1/2004	24.019	3.025	32.366	18.143	0.079	38.226	3.03	20.046	8.143	8.518	0.321	0.824	141.235	0.273	9.763	10.396	0.283	7.923	0.634	9.275	3.889	1.852	182.911	0.352	7.761	13.034	7.344	0.474	13.149	17.356	31.899	3.894	8.815	16.002	1,299.88	42.368	0.593	59.007	3.256	4.152	17.878	4.311	0.733	10.195	5.398	0.713	0.071	8.858	13.552	69.313	6.05	0.586	4.666	1.351	73.197	0.819	5.22	60.505	1.33	1.46	4.265	82.501	20.368	11.038	0.103	12.397	9.38	1.391	0.756	9.13	6.762	6.798	10.117	0.291	1,097.44	218.285	68.345	26.674	4.045	6.806	57.496	2.666	127.752	5.35	15.075	32.894	0.091	48.039
1/1/2005	24.861	3.004	32.855	18.688	0.08	38.592	3.01	20.312	8.201	8.613	0.325	0.889	143.135	0.273	9.697	10.446	0.292	8.182	0.65	9.408	3.919	1.876	185.151	0.359	7.719	13.422	7.491	0.479	13.356	17.842	32.203	3.961	9.035	16.165	1,307.56	42.889	0.6	60.777	3.35	4.215	18.343	4.312	0.744	10.199	5.411	0.733	0.071	8.968	13.721	70.748	6.07	0.604	4.854	1.348	75.1	0.822	5.237	60.963	1.364	1.504	4.211	82.438	20.889	11.074	0.103	12.71	9.576	1.422	0.759	9.261	6.899	6.838	10.098	0.294	1,114.00	221.398	69.39	27.377	4.134	6.927	57.875	2.682	127.775	5.473	15.219	33.803	0.093	48.138
1/1/2006	25.631	2.981	33.351	19.248	0.081	38.971	3	20.628	8.254	8.707	0.329	0.96	144.869	0.274	9.63	10.511	0.301	8.444	0.666	9.627	3.92	1.901	187.335	0.365	7.679	13.822	7.641	0.482	13.555	18.341	32.529	4.032	9.261	16.332	1,314.48	43.406	0.613	62.601	3.447	4.279	18.82	4.314	0.758	10.224	5.427	0.753	0.071	9.071	13.965	72.212	6.1	0.622	5.035	1.345	77.053	0.828	5.256	61.4	1.398	1.547	4.158	82.315	21.423	11.112	0.103	13.029	9.799	1.453	0.762	9.389	7.037	6.904	10.077	0.3	1,130.00	224.555	70.496	28.064	4.233	7.052	58.064	2.696	127.851	5.6	15.395	34.738	0.095	48.372
1/1/2007	26.349	2.955	33.858	19.826	0.082	39.356	2.99	21.016	8.283	8.802	0.333	1.039	146.457	0.275	9.579	10.585	0.312	8.707	0.679	9.903	3.916	1.928	189.463	0.37	7.64	14.235	7.794	0.484	13.747	18.855	32.848	4.107	9.493	16.505	1,321.29	43.927	0.631	64.479	3.547	4.34	19.309	4.312	0.776	10.254	5.447	0.774	0.071	9.174	14.215	73.644	6.12	0.64	5.21	1.342	79.056	0.835	5.277	61.795	1.433	1.591	4.104	82.218	21.97	11.144	0.104	13.354	10.047	1.484	0.763	9.514	7.178	6.938	10.066	0.308	1,146.00	227.758	71.278	28.741	4.376	7.176	58.224	2.708	127.983	5.723	15.566	35.698	0.097	48.598
1/1/2008	27.032	2.927	34.591	20.421	0.083	39.746	2.98	21.476	8.308	8.897	0.337	1.107	147.97	0.275	9.542	10.667	0.322	8.973	0.692	10.028	3.911	1.955	191.532	0.375	7.607	14.66	7.981	0.485	13.941	19.383	33.199	4.185	9.73	16.687	1,328.02	44.451	0.65	66.413	3.65	4.404	19.811	4.31	0.797	10.343	5.476	0.796	0.071	9.28	14.473	75.229	6.15	0.658	5.382	1.341	80.321	0.844	5.3	62.135	1.454	1.636	4.051	82.002	22.532	11.182	0.104	13.686	10.315	1.517	0.766	9.638	7.322	6.964	10.045	0.315	1,162.00	231.006	72.18	29.43	4.485	7.307	58.653	2.719	128.065	5.85	15.778	36.686	0.099	48.949
1/1/2009	27.708	2.898	35.268	21.033	0.084	40.134	2.97	21.866	8.335	8.977	0.341	1.178	149.503	0.276	9.514	10.753	0.323	9.241	0.705	10.302	3.904	1.982	193.544	0.38	7.564	15.095	8.172	0.486	14.144	19.926	33.581	4.266	9.973	16.877	1,334.50	44.979	0.67	68.406	3.756	4.469	20.327	4.303	0.819	10.426	5.511	0.818	0.071	9.38	14.738	76.925	6.18	0.677	5.558	1.34	81.606	0.852	5.326	62.466	1.475	1.682	3.997	81.802	23.108	11.191	0.104	14.027	10.593	1.551	0.77	9.765	7.47	6.996	10.031	0.319	1,178.00	234.3	73.201	30.163	4.533	7.482	59.001	2.73	128.051	5.98	16.198	37.7	0.101	49.182
1/1/2010	28.398	2.87	35.978	21.664	0.085	40.788	2.96	22.172	8.352	9.049	0.345	1.235	151.125	0.277	9.5	10.84	0.324	9.51	0.717	10.507	3.897	2.007	195.498	0.387	7.505	15.54	8.368	0.488	14.365	20.424	33.959	4.35	10.223	17.066	1,340.91	45.51	0.69	70.458	3.865	4.534	20.855	4.29	0.84	10.462	5.535	0.841	0.071	9.479	15.012	78.728	6.22	0.696	5.741	1.34	82.912	0.861	5.351	62.765	1.496	1.728	3.944	81.752	23.699	11.184	0.105	14.377	10.876	1.587	0.778	9.896	7.621	7.052	10.014	0.318	1,195.06	237.641	74.339	30.962	4.555	7.621	59.19	2.741	128.048	6.113	16.434	38.5	0.103	49.41
1/1/2011	29.105	2.843	36.717	22.314	0.086	41.261	2.96	22.52	8.375	9.122	0.348	1.195	152.862	0.277	9.481	11.001	0.332	9.78	0.729	10.712	3.89	2.031	197.397	0.393	7.327	15.995	8.569	0.491	14.605	20.934	34.303	4.435	10.478	17.256	1,347.35	46.045	0.71	72.571	3.977	4.592	21.397	4.281	0.862	10.487	5.561	0.865	0.071	9.58	15.266	80.4	6.26	0.716	5.93	1.34	84.238	0.868	5.375	63.07	1.518	1.776	3.89	80.328	24.304	11.123	0.105	14.736	11.162	1.624	0.79	10.033	7.777	7.112	9.986	0.318	1,217.44	241.991	75.15	31.76	4.575	7.763	59.365	2.755	127.896	6.249	16.674	39.5	0.105	49.779
1/1/2012	29.825	2.816	37.495	22.984	0.086	41.733	2.97	22.921	8.408	9.195	0.352	1.219	154.695	0.278	9.465	11.095	0.341	10.051	0.742	10.875	3.884	2.055	199.242	0.4	7.282	16.46	8.775	0.506	14.864	21.458	34.699	4.522	10.74	17.445	1,354.04	46.582	0.732	74.749	4.092	4.652	21.954	4.268	0.872	10.505	5.581	0.889	0.071	9.681	15.521	82.4	6.3	0.736	6.126	1.294	85.586	0.875	5.401	63.376	1.541	1.825	3.837	80.524	24.926	11.123	0.105	15.105	11.451	1.661	0.796	10.174	7.936	7.178	9.932	0.32	1,243.00	245.425	76	32.578	4.585	7.907	59.394	2.769	127.611	6.388	16.912	40.7	0.107	50.004
1/1/2013	30.55	2.788	37.9	23.673	0.087	42.203	2.98	23.295	8.452	9.268	0.356	1.243	156.595	0.278	9.464	11.162	0.35	10.321	0.754	11.081	3.878	2.079	201.033	0.406	7.238	16.937	8.985	0.512	15.087	21.994	35.1	4.611	11.009	17.632	1,360.72	47.121	0.754	76.991	4.182	4.713	22.524	4.256	0.881	10.516	5.603	0.914	0.071	9.785	15.775	84.7	6.325	0.757	6.328	1.286	86.955	0.881	5.427	63.652	1.563	1.876	3.783	80.767	25.563	11.063	0.106	15.482	11.745	1.699	0.8	10.317	8.098	7.222	9.909	0.322	1,259.35	248.818	76.978	33.417	4.593	8.056	59.685	2.784	127.341	6.53	17.165	41.8	0.109	50.22
1/1/2014	31.279	2.774	39.5	24.383	0.088	42.643	2.985	23.626	8.508	9.342	0.36	1.268	158.217	0.279	9.468	11.204	0.357	10.592	0.766	11.292	3.871	2.104	202.769	0.413	7.202	17.429	9.201	0.518	15.313	22.544	35.492	4.701	11.284	17.819	1,367.82	47.662	0.776	79.301	4.274	4.775	23.11	4.236	0.891	10.512	5.617	0.939	0.071	9.883	16.027	86.7	6.352	0.778	6.537	1.319	88.347	0.885	5.451	63.92	1.586	1.927	3.73	81.1	26.216	10.993	0.106	15.87	12.039	1.738	0.8	10.461	8.264	7.267	9.877	0.326	1,275.92	252.165	77.8	34.278	4.61	8.212	60.783	2.799	127.061	6.675	17.422	42.927	0.112	50.424
1/1/2015	32.007	2.76	40.29	25.115	0.089	43.096	2.99	24.027	8.556	9.417	0.364	1.294	159.857	0.28	9.421	11.337	0.364	10.862	0.779	11.506	3.863	2.129	204.451	0.419	7.166	17.934	9.422	0.525	15.543	23.108	35.798	4.794	11.566	18.006	1,374.96	48.209	0.799	81.68	4.368	4.837	23.711	4.236	0.9	10.529	5.66	0.966	0.071	9.99	16.279	88.434	6.377	0.799	6.752	1.316	89.76	0.89	5.472	64.213	1.608	1.98	3.697	81.687	26.886	10.929	0.107	16.266	12.34	1.777	0.802	10.604	8.433	7.311	9.857	0.328	1,292.71	255.462	78.631	35.161	4.649	8.371	60.945	2.814	126.729	6.824	17.683	44.076	0.114	50.629
